ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10897540,JA208841,04/01/2017 02:00:00 AM,023XX N MILWAUKEE AVE,0460,BATTERY,SIMPLE,SIDEWALK,false,false,1414,014,35,22,08B,1156774,1915585,2017,04/08/2017 03:49:53 PM,41.924142132,-87.699370763,"(41.924142132, -87.699370763)"
10897204,JA208347,04/01/2017 02:00:00 AM,063XX S ASHLAND AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,CTA BUS STOP,false,false,0725,007,16,67,11,1166755,1862773,2017,04/08/2017 03:49:53 PM,41.779012821,-87.664208692,"(41.779012821, -87.664208692)"
10897180,JA208346,04/01/2017 02:00:00 AM,063XX S ASHLAND AVE,0880,THEFT,PURSE-SNATCHING,CTA BUS STOP,false,false,0725,007,16,67,06,1166755,1862773,2017,04/08/2017 03:49:53 PM,41.779012821,-87.664208692,"(41.779012821, -87.664208692)"
10897145,JA208185,04/01/2017 02:00:00 AM,037XX W 54TH ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0822,008,23,62,07,1152188,1868539,2017,04/08/2017 03:49:53 PM,41.795134232,-87.717461686,"(41.795134232, -87.717461686)"
10897036,JA208147,04/01/2017 02:00:00 AM,036XX W BELMONT AVE,0860,THEFT,RETAIL THEFT,CONVENIENCE STORE,false,false,1732,017,35,21,06,1151747,1921040,2017,04/08/2017 03:49:53 PM,41.939211601,-87.717698178,"(41.939211601, -87.717698178)"
10897018,JA208124,04/01/2017 02:00:00 AM,071XX W GRAND AVE,0460,BATTERY,SIMPLE,BAR OR TAVERN,false,false,2512,025,36,18,08B,1128038,1915268,2017,04/08/2017 03:49:53 PM,41.923806678,-87.804967456,"(41.923806678, -87.804967456)"
10897022,JA208133,04/01/2017 02:06:00 AM,014XX W 71ST ST,2024,NARCOTICS,POSS: HEROIN(WHITE),STREET,true,false,0734,007,17,67,18,1168142,1857668,2017,04/08/2017 03:49:53 PM,41.764974323,-87.659270505,"(41.764974323, -87.659270505)"
10897011,JA208125,04/01/2017 02:10:00 AM,001XX W 124TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,0523,005,9,53,08B,1177761,1822733,2017,04/08/2017 03:49:53 PM,41.668895753,-87.625067607,"(41.668895753, -87.625067607)"
10897125,JA208157,04/01/2017 02:16:00 AM,045XX S WOOD ST,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,RESIDENCE,true,false,0924,009,20,61,15,1165109,1874620,2017,04/08/2017 03:49:53 PM,41.811557425,-87.669907905,"(41.811557425, -87.669907905)"
10897045,JA208141,04/01/2017 02:24:00 AM,017XX E 78TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,true,0414,004,8,43,08B,1189366,1853610,2017,04/08/2017 03:49:53 PM,41.753356075,-87.581609252,"(41.753356075, -87.581609252)"
